,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,FTr,3PAr,TS%,TRB%,AST%,BLK%,eFG%,TOV%,FT/FGA,Conf_Rk,Conf,region_seed,qual_for_ncaa,final_four,ncaa_champ,season
122,Long Island University,28,11,17,0.393,-12.98,-9.35,7.0,11.0,3.0,7.0,6.0,9.0,2161.0,2207.0,0.364,0.278,0.521,46.8,54.6,8.1,0.489,18.4,0.245,9.0,NEC,-1,False,False,False,1993
123,Louisiana,30,17,13,0.567,4.58,1.68,11.0,7.0,10.0,4.0,6.0,6.0,2391.0,2304.0,0.398,0.188,0.544,48.2,48.2,6.6,0.507,16.7,0.279,3.0,Sun Belt,-1,False,False,False,1993
124,Louisiana State,33,22,11,0.667,10.24,5.27,9.0,7.0,15.0,2.0,3.0,6.0,2597.0,2433.0,0.35,0.244,0.517,51.7,52.2,7.2,0.483,16.2,0.239,8.0,SEC,11.0,True,False,False,1993
125,Louisiana Tech,28,7,21,0.25,-10.93,0.82,3.0,15.0,3.0,8.0,2.0,11.0,1710.0,2029.0,0.363,0.216,0.477,48.1,45.5,10.0,0.448,23.0,0.222,9.0,Sun Belt,-1,False,False,False,1993
126,Louisiana-Monroe,31,26,5,0.839,7.65,-5.08,17.0,1.0,13.0,0.0,9.0,2.0,2702.0,2299.0,0.4,0.227,0.583,50.3,47.5,6.1,0.566,15.6,0.257,1.0,Southland,13.0,True,False,False,1993
127,Louisville,31,22,9,0.71,14.65,8.85,11.0,1.0,13.0,3.0,6.0,5.0,2513.0,2293.0,0.399,0.246,0.574,52.3,56.7,9.8,0.549,17.7,0.267,1.0,Metro,4.0,True,False,False,1993
128,Loyola (IL),27,7,20,0.259,-7.23,2.29,3.0,11.0,3.0,8.0,2.0,11.0,1810.0,1993.0,0.37,0.218,0.513,47.2,48.4,4.4,0.484,22.1,0.239,8.0,MW Coll,-1,False,False,False,1993
129,Loyola (MD),27,2,25,0.074,-15.26,-3.04,1.0,13.0,1.0,9.0,1.0,13.0,1571.0,1901.0,0.33,0.235,0.482,47.3,53.3,6.8,0.448,23.1,0.218,8.0,MAAC,-1,False,False,False,1993
130,Loyola Marymount,27,7,20,0.259,-9.11,-2.39,2.0,12.0,3.0,8.0,2.0,10.0,1855.0,2008.0,0.384,0.232,0.502,48.9,54.4,9.7,0.463,21.3,0.262,8.0,WCC,-1,False,False,False,1993
131,Maine,27,10,17,0.37,-10.97,-7.93,4.0,10.0,5.0,6.0,4.0,11.0,1841.0,1923.0,0.325,0.163,0.511,49.9,55.8,6.9,0.482,19.6,0.215,5.0,NAC,-1,False,False,False,1993
132,Manhattan,30,23,7,0.767,3.15,-3.05,12.0,2.0,11.0,0.0,9.0,4.0,2194.0,2006.0,0.436,0.265,0.544,53.4,56.0,6.2,0.511,19.8,0.291,1.0,MAAC,11.0,True,False,False,1993
133,Marist,30,14,16,0.467,-10.56,-8.25,10.0,8.0,8.0,7.0,4.0,5.0,2129.0,2189.0,0.497,0.259,0.535,50.6,53.5,6.8,0.495,18.6,0.331,4.0,NEC,-1,False,False,False,1993
134,Marquette,28,20,8,0.714,15.68,2.29,6.0,4.0,13.0,3.0,7.0,3.0,2067.0,1692.0,0.422,0.216,0.567,54.7,69.5,10.4,0.524,17.4,0.314,3.0,GMWC,12.0,True,False,False,1993
135,Marshall,27,16,11,0.593,-4.44,-4.8,11.0,7.0,10.0,1.0,4.0,8.0,2112.0,2062.0,0.385,0.209,0.523,49.4,51.2,8.8,0.485,18.0,0.267,4.0,Southern,-1,False,False,False,1993
136,Maryland,28,12,16,0.429,9.49,9.17,2.0,14.0,8.0,7.0,2.0,8.0,2235.0,2226.0,0.342,0.178,0.504,48.5,61.7,7.2,0.471,17.1,0.23,8.0,ACC,-1,False,False,False,1993
137,Maryland-Baltimore County,28,12,16,0.429,-11.82,-8.47,7.0,9.0,6.0,3.0,3.0,12.0,2290.0,2337.0,0.412,0.214,0.517,50.1,57.3,7.7,0.489,17.8,0.258,6.0,Big South,-1,False,False,False,1993
138,Maryland-Eastern Shore,27,13,14,0.481,-20.56,-11.88,7.0,9.0,4.0,4.0,4.0,10.0,1794.0,1995.0,0.438,0.229,0.503,48.1,42.1,4.8,0.466,21.8,0.284,6.0,MEAC,-1,False,False,False,1993
139,Massachusetts,31,24,7,0.774,14.25,5.34,11.0,3.0,10.0,0.0,8.0,4.0,2262.0,1986.0,0.495,0.26,0.532,54.8,61.4,10.9,0.485,17.5,0.346,1.0,A-10,3.0,True,False,False,1993
140,McNeese State,28,12,16,0.429,-5.95,-4.91,9.0,9.0,4.0,7.0,7.0,6.0,2034.0,2035.0,0.364,0.273,0.546,46.6,40.7,11.1,0.51,18.7,0.262,6.0,Southland,-1,False,False,False,1993
141,Memphis,32,20,12,0.625,12.7,8.73,7.0,3.0,13.0,2.0,4.0,7.0,2402.0,2225.0,0.345,0.27,0.527,51.0,58.7,10.3,0.497,17.0,0.233,2.0,GMWC,10.0,True,False,False,1993
142,Mercer,27,13,14,0.481,-7.95,-4.41,7.0,5.0,7.0,2.0,3.0,12.0,1973.0,1996.0,0.349,0.197,0.505,49.9,57.2,10.2,0.47,16.4,0.238,3.0,TAAC,-1,False,False,False,1993
143,Miami (FL),27,10,17,0.37,4.63,9.23,7.0,11.0,8.0,5.0,0.0,10.0,1929.0,2004.0,0.374,0.326,0.512,48.2,64.9,10.8,0.491,18.3,0.224,9.0,Big East,-1,False,False,False,1993
144,Miami (OH),31,22,9,0.71,4.8,-0.27,14.0,4.0,11.0,3.0,9.0,5.0,1971.0,1442.0,0.372,0.345,0.554,50.7,62.2,5.1,0.525,16.4,0.253,2.0,MAC,-1,False,False,False,1993
145,Michigan,36,31,5,0.861,22.01,11.9,15.0,3.0,14.0,1.0,8.0,3.0,2950.0,2586.0,0.362,0.19,0.555,55.2,51.9,11.4,0.532,17.4,0.237,2.0,Big Ten,1.0,True,True,False,1993
146,Michigan State,28,15,13,0.536,13.67,7.92,7.0,11.0,9.0,5.0,4.0,7.0,2079.0,1908.0,0.343,0.195,0.562,54.5,59.1,5.8,0.543,18.7,0.221,8.0,Big Ten,-1,False,False,False,1993
147,Middle Tennessee,26,10,16,0.385,-10.72,-5.02,5.0,11.0,7.0,4.0,1.0,12.0,1805.0,1910.0,0.308,0.252,0.516,50.6,51.6,7.1,0.49,18.5,0.204,7.0,OVC,-1,False,False,False,1993
149,Minnesota,32,22,10,0.688,16.81,9.23,9.0,9.0,16.0,2.0,3.0,8.0,2453.0,2174.0,0.38,0.199,0.545,53.2,56.4,7.9,0.516,17.2,0.254,5.0,Big Ten,-1,False,False,False,1993
150,Mississippi,28,10,18,0.357,-2.08,8.04,4.0,12.0,5.0,8.0,2.0,9.0,1991.0,2161.0,0.366,0.224,0.512,50.0,51.4,9.9,0.494,20.6,0.214,12.0,SEC,-1,False,False,False,1993
151,Mississippi State,29,13,16,0.448,1.31,6.72,5.0,11.0,8.0,3.0,0.0,11.0,2034.0,2149.0,0.311,0.209,0.52,49.0,62.6,7.9,0.492,19.5,0.209,11.0,SEC,-1,False,False,False,1993
152,Mississippi Valley State,28,13,15,0.464,-5.64,-3.93,7.0,7.0,7.0,2.0,4.0,8.0,2289.0,2328.0,0.28,0.281,0.479,50.3,47.3,6.8,0.451,14.2,0.181,5.0,SWAC,-1,False,False,False,1993
153,Missouri,33,19,14,0.576,13.38,9.11,5.0,9.0,9.0,5.0,2.0,7.0,2452.0,2234.0,0.435,0.223,0.523,52.6,59.6,7.7,0.499,16.6,0.264,7.0,Big 8,10.0,True,False,False,1993
154,Missouri State,31,20,11,0.645,7.05,2.41,11.0,7.0,14.0,2.0,5.0,8.0,1957.0,1813.0,0.447,0.279,0.545,49.6,62.7,4.4,0.507,16.4,0.306,3.0,MVC,-1,False,False,False,1993
155,Monmouth,28,11,17,0.393,-10.07,-8.25,7.0,11.0,5.0,6.0,5.0,11.0,1805.0,1856.0,0.339,0.207,0.532,47.9,61.8,9.7,0.493,21.4,0.249,10.0,NEC,-1,False,False,False,1993
156,Montana,28,17,11,0.607,-3.98,-5.34,8.0,6.0,8.0,5.0,6.0,5.0,1834.0,1723.0,0.395,0.219,0.508,53.1,62.0,10.0,0.479,18.3,0.248,4.0,Big Sky,-1,False,False,False,1993
157,Montana State,27,9,18,0.333,-9.45,-4.97,5.0,9.0,3.0,7.0,4.0,9.0,1820.0,1841.0,0.352,0.176,0.507,51.5,57.0,8.2,0.474,20.3,0.236,6.0,Big Sky,-1,False,False,False,1993
158,Morehead State,27,6,21,0.222,-18.94,-4.71,6.0,10.0,6.0,6.0,0.0,11.0,2023.0,2400.0,0.402,0.379,0.513,47.4,61.9,2.6,0.468,19.7,0.285,6.0,OVC,-1,False,False,False,1993
159,Morgan State,26,9,17,0.346,-18.17,-10.49,8.0,7.0,5.0,3.0,3.0,12.0,1936.0,2136.0,0.354,0.227,0.483,48.1,53.5,8.8,0.459,20.6,0.209,4.0,MEAC,-1,False,False,False,1993
160,Mount St. Mary's,28,13,15,0.464,-10.53,-8.45,10.0,8.0,6.0,6.0,7.0,9.0,2012.0,2070.0,0.341,0.299,0.518,52.0,47.3,6.5,0.486,19.1,0.233,3.0,NEC,-1,False,False,False,1993
161,Murray State,30,18,12,0.6,-3.68,-4.4,11.0,5.0,7.0,2.0,7.0,7.0,2536.0,2450.0,0.424,0.253,0.547,48.9,42.3,9.0,0.511,16.9,0.292,3.0,OVC,-1,False,False,False,1993
162,Navy,27,8,19,0.296,-13.92,-6.92,5.0,9.0,4.0,8.0,2.0,10.0,1717.0,1879.0,0.387,0.246,0.491,53.6,62.6,6.6,0.453,20.8,0.256,5.0,Patriot,-1,False,False,False,1993
163,NC State,27,8,19,0.296,1.73,10.62,2.0,14.0,7.0,8.0,1.0,9.0,1835.0,2072.0,0.268,0.325,0.506,50.3,55.8,6.5,0.486,17.7,0.168,9.0,ACC,-1,False,False,False,1993
164,Nebraska,31,20,11,0.645,10.57,5.7,8.0,6.0,14.0,2.0,5.0,5.0,2497.0,2346.0,0.387,0.237,0.534,52.2,59.5,9.3,0.5,18.8,0.265,4.0,Big 8,10.0,True,False,False,1993
165,Nevada,26,9,17,0.346,-4.58,2.78,4.0,14.0,5.0,8.0,3.0,9.0,1944.0,2105.0,0.384,0.289,0.536,50.2,55.2,6.1,0.503,18.3,0.261,8.0,Big West,-1,False,False,False,1993
167,New Hampshire,27,6,21,0.222,-13.98,-4.39,4.0,10.0,4.0,8.0,2.0,12.0,1678.0,1938.0,0.407,0.27,0.483,48.6,57.9,5.8,0.441,19.2,0.27,6.0,NAC,-1,False,False,False,1993
168,New Mexico,31,24,7,0.774,8.97,3.3,13.0,5.0,14.0,1.0,6.0,5.0,2164.0,1960.0,0.365,0.364,0.549,49.7,58.5,9.6,0.528,15.9,0.232,3.0,WAC,5.0,True,False,False,1993
169,New Mexico State,34,26,8,0.765,8.08,4.11,15.0,3.0,10.0,2.0,7.0,5.0,2615.0,2460.0,0.441,0.223,0.542,52.5,59.5,6.4,0.504,17.5,0.303,1.0,Big West,7.0,True,False,False,1993
170,New Orleans,30,26,4,0.867,12.0,0.55,18.0,0.0,14.0,2.0,9.0,0.0,2175.0,1835.0,0.509,0.149,0.545,54.1,54.4,11.8,0.505,18.7,0.343,1.0,Sun Belt,8.0,True,False,False,1993
171,Niagara,30,23,7,0.767,4.68,-4.03,11.0,3.0,12.0,3.0,9.0,3.0,2387.0,2126.0,0.41,0.233,0.575,48.8,58.3,5.9,0.536,18.7,0.303,2.0,MAAC,-1,False,False,False,1993
172,Nicholls State,26,14,12,0.538,-7.35,-4.48,11.0,7.0,7.0,3.0,4.0,8.0,2019.0,2040.0,0.406,0.172,0.502,49.8,53.5,6.3,0.461,17.6,0.274,2.0,Southland,-1,False,False,False,1993
173,North Carolina,38,34,4,0.895,29.04,11.25,14.0,2.0,12.0,0.0,10.0,2.0,3272.0,2596.0,0.392,0.188,0.573,56.1,57.3,8.8,0.541,16.9,0.277,1.0,ACC,1.0,True,True,True,1993
174,North Carolina A&T,27,14,13,0.519,-13.54,-10.89,9.0,6.0,3.0,5.0,7.0,4.0,1891.0,1948.0,0.386,0.227,0.503,49.6,46.1,8.1,0.47,19.6,0.251,2.0,MEAC,-1,False,False,False,1993
175,North Texas,26,5,21,0.192,-11.56,-3.41,5.0,13.0,5.0,7.0,0.0,12.0,2049.0,2261.0,0.321,0.329,0.487,48.2,53.2,-13.7,0.454,16.6,0.214,9.0,Southland,-1,False,False,False,1993
176,Northeastern,28,20,8,0.714,-0.51,-6.62,12.0,2.0,11.0,4.0,8.0,3.0,2124.0,1953.0,0.333,0.193,0.51,54.1,44.4,7.6,0.478,15.8,0.224,2.0,NAC,-1,False,False,False,1993
178,Northern Arizona,26,10,16,0.385,-10.47,-5.73,4.0,10.0,6.0,5.0,2.0,10.0,1807.0,1912.0,0.499,0.274,0.485,49.4,56.0,7.1,0.448,19.4,0.305,7.0,Big Sky,-1,False,False,False,1993
179,Northern Illinois,27,15,12,0.556,-9.4,-5.56,10.0,6.0,10.0,2.0,3.0,9.0,1883.0,1911.0,0.35,0.211,0.487,52.0,47.2,6.8,0.447,17.0,0.243,2.0,Mid-Cont,-1,False,False,False,1993
180,Northern Iowa,27,12,15,0.444,-3.12,2.0,8.0,10.0,8.0,6.0,3.0,8.0,1655.0,1778.0,0.387,0.132,0.508,50.3,42.1,6.0,0.471,20.9,0.261,6.0,MVC,-1,False,False,False,1993
181,Northwestern,27,8,19,0.296,2.34,9.19,3.0,15.0,6.0,7.0,1.0,10.0,1911.0,2038.0,0.358,0.18,0.511,48.9,55.6,6.2,0.469,19.0,0.258,10.0,Big Ten,-1,False,False,False,1993
182,Northwestern State,26,13,13,0.5,-7.2,-5.66,7.0,11.0,5.0,5.0,4.0,8.0,2357.0,2250.0,0.426,0.339,0.548,49.1,68.8,10.9,0.52,18.2,0.279,8.0,Southland,-1,False,False,False,1993
184,Ohio,27,14,13,0.519,-3.92,-3.23,11.0,7.0,7.0,3.0,5.0,9.0,1905.0,1905.0,0.463,0.252,0.548,52.8,59.0,5.2,0.501,19.4,0.333,4.0,MAC,-1,False,False,False,1993
185,Ohio State,28,15,13,0.536,11.89,10.93,8.0,10.0,9.0,6.0,4.0,7.0,1991.0,1965.0,0.374,0.233,0.531,49.0,55.2,7.9,0.497,18.0,0.258,7.0,Big Ten,-1,False,False,False,1993
186,Oklahoma,32,20,12,0.625,17.87,10.18,7.0,7.0,14.0,2.0,3.0,7.0,2850.0,2528.0,0.377,0.249,0.532,50.1,51.4,8.1,0.498,14.4,0.258,6.0,Big 8,-1,False,False,False,1993
187,Oklahoma State,29,20,9,0.69,14.62,9.9,8.0,6.0,10.0,2.0,6.0,5.0,2246.0,2003.0,0.474,0.215,0.584,55.7,64.3,6.7,0.555,20.8,0.319,2.0,Big 8,5.0,True,False,False,1993
188,Old Dominion,29,21,8,0.724,4.98,2.05,11.0,3.0,11.0,1.0,8.0,6.0,2445.0,2316.0,0.424,0.252,0.573,53.3,52.8,9.9,0.53,16.4,0.318,2.0,CAA,-1,False,False,False,1993
189,Oregon,30,10,20,0.333,1.82,8.63,3.0,15.0,5.0,6.0,1.0,11.0,2276.0,2366.0,0.424,0.228,0.529,48.2,58.1,4.2,0.49,19.6,0.29,9.0,Pac-10,-1,False,False,False,1993
190,Oregon State,27,13,14,0.481,8.48,9.08,9.0,9.0,6.0,4.0,4.0,9.0,1868.0,1818.0,0.397,0.298,0.532,48.5,64.8,9.7,0.493,19.2,0.28,6.0,Pac-10,-1,False,False,False,1993
191,Pacific,27,16,11,0.593,4.78,1.7,12.0,6.0,9.0,3.0,6.0,5.0,1811.0,1719.0,0.399,0.253,0.528,48.7,57.3,4.9,0.505,17.3,0.248,3.0,Big West,-1,False,False,False,1993
192,Penn State,27,7,20,0.259,0.9,9.23,2.0,16.0,5.0,8.0,2.0,11.0,1680.0,1915.0,0.366,0.231,0.494,48.1,52.2,8.7,0.456,18.3,0.247,11.0,Big Ten,-1,False,False,False,1993
193,Pennsylvania,27,22,5,0.815,6.27,-3.14,14.0,0.0,9.0,2.0,11.0,1.0,1950.0,1686.0,0.306,0.306,0.531,50.8,55.7,8.3,0.507,14.7,0.204,1.0,Ivy,14.0,True,False,False,1993
194,Pepperdine,31,23,8,0.742,3.82,-1.32,11.0,3.0,8.0,3.0,11.0,3.0,2237.0,1998.0,0.41,0.223,0.564,54.6,60.9,9.2,0.537,18.1,0.273,1.0,WCC,-1,False,False,False,1993
195,Pittsburgh,28,17,11,0.607,9.72,9.04,9.0,9.0,11.0,4.0,5.0,5.0,2163.0,2144.0,0.418,0.238,0.526,52.8,54.2,8.8,0.492,18.1,0.276,6.0,Big East,9.0,True,False,False,1993
196,Portland,27,9,18,0.333,-12.54,-4.58,3.0,11.0,6.0,6.0,1.0,11.0,1868.0,2040.0,0.356,0.268,0.507,50.3,53.3,5.9,0.469,21.1,0.247,7.0,WCC,-1,False,False,False,1993
197,Prairie View,27,1,26,0.037,-30.79,-3.01,0.0,14.0,0.0,10.0,0.0,12.0,2106.0,2762.0,0.351,0.247,0.476,47.1,53.2,4.6,0.448,20.5,0.216,8.0,SWAC,-1,False,False,False,1993
198,Princeton,26,15,11,0.577,-2.52,-4.72,7.0,7.0,6.0,3.0,4.0,6.0,1498.0,1421.0,0.416,0.461,0.602,45.8,57.5,6.2,0.579,17.9,0.283,4.0,Ivy,-1,False,False,False,1993
199,Providence,33,20,13,0.606,14.24,8.18,9.0,9.0,15.0,4.0,4.0,6.0,2337.0,2137.0,0.442,0.254,0.511,55.1,65.2,9.3,0.477,17.5,0.282,5.0,Big East,-1,False,False,False,1993
200,Purdue,28,18,10,0.643,12.95,9.63,9.0,9.0,9.0,5.0,7.0,4.0,1986.0,1898.0,0.393,0.19,0.555,50.6,59.9,5.3,0.519,18.8,0.278,6.0,Big Ten,9.0,True,False,False,1993
201,Radford,31,15,16,0.484,-12.66,-7.95,8.0,8.0,8.0,2.0,2.0,11.0,2520.0,2570.0,0.344,0.291,0.548,47.8,51.5,8.7,0.515,18.7,0.247,5.0,Big South,-1,False,False,False,1993
202,Rhode Island,30,19,11,0.633,9.5,6.4,8.0,6.0,9.0,1.0,6.0,7.0,2317.0,2224.0,0.453,0.268,0.531,51.5,50.7,6.9,0.484,16.4,0.324,3.0,A-10,8.0,True,False,False,1993
203,Rice,28,18,10,0.643,6.17,2.38,11.0,3.0,9.0,2.0,8.0,5.0,2170.0,2064.0,0.539,0.242,0.562,53.9,53.3,3.8,0.514,17.8,0.385,2.0,SWC,-1,False,False,False,1993
204,Richmond,27,15,12,0.556,2.02,-0.24,10.0,4.0,8.0,4.0,7.0,5.0,1936.0,1875.0,0.397,0.261,0.57,48.8,58.1,6.3,0.537,18.2,0.28,3.0,CAA,-1,False,False,False,1993
205,Rider,30,19,11,0.633,-5.61,-8.28,14.0,4.0,13.0,1.0,6.0,7.0,2202.0,2122.0,0.463,0.22,0.558,50.0,53.5,7.1,0.52,18.6,0.321,1.0,NEC,16.0,True,False,False,1993
206,Robert Morris,27,9,18,0.333,-11.9,-6.34,7.0,11.0,6.0,6.0,2.0,12.0,1800.0,1950.0,0.462,0.195,0.544,50.0,51.3,6.2,0.504,23.3,0.317,8.0,NEC,-1,False,False,False,1993
207,Rutgers,28,13,15,0.464,6.89,6.38,6.0,8.0,10.0,4.0,1.0,9.0,2280.0,2217.0,0.406,0.243,0.536,50.6,47.4,12.4,0.499,17.4,0.28,7.0,A-10,-1,False,False,False,1993
209,Saint Francis (PA),27,9,18,0.333,-12.89,-8.56,7.0,11.0,5.0,8.0,4.0,10.0,1807.0,1924.0,0.381,0.295,0.514,46.0,59.7,8.0,0.474,22.3,0.266,7.0,NEC,-1,False,False,False,1993
210,Saint Joseph's,29,18,11,0.621,6.19,3.95,8.0,6.0,10.0,2.0,6.0,6.0,2083.0,2019.0,0.484,0.284,0.517,51.6,53.6,6.5,0.465,16.1,0.342,4.0,A-10,-1,False,False,False,1993
211,Saint Louis,29,12,17,0.414,6.87,6.65,1.0,9.0,8.0,5.0,1.0,12.0,2019.0,1956.0,0.379,0.252,0.563,48.6,59.9,5.0,0.526,18.9,0.275,6.0,GMWC,-1,False,False,False,1993
212,Saint Mary's (CA),27,11,16,0.407,-8.4,-1.86,6.0,8.0,6.0,5.0,3.0,9.0,1661.0,1827.0,0.409,0.308,0.532,50.3,52.5,7.0,0.503,22.5,0.264,6.0,WCC,10.0,True,False,False,1993
213,Saint Peter's,27,9,18,0.333,-10.16,-5.16,3.0,11.0,4.0,7.0,4.0,10.0,1758.0,1893.0,0.331,0.167,0.503,51.2,57.2,6.8,0.473,20.6,0.219,7.0,MAAC,-1,False,False,False,1993
214,Sam Houston State,25,6,19,0.24,-14.23,-3.71,4.0,14.0,4.0,5.0,0.0,13.0,1913.0,2117.0,0.345,0.301,0.518,45.5,68.5,5.1,0.49,20.3,0.227,10.0,Southland,-1,False,False,False,1993
215,Samford,27,17,10,0.63,-7.33,-9.93,7.0,5.0,9.0,3.0,6.0,5.0,1945.0,1812.0,0.485,0.402,0.601,48.3,55.3,4.0,0.56,18.2,0.36,2.0,TAAC,-1,False,False,False,1993
216,San Diego,27,13,14,0.481,-2.64,-1.48,7.0,7.0,7.0,5.0,4.0,8.0,1955.0,1932.0,0.384,0.286,0.544,51.0,54.5,5.1,0.519,19.4,0.248,5.0,WCC,-1,False,False,False,1993
217,San Diego State,29,8,21,0.276,-7.32,4.72,3.0,15.0,2.0,9.0,1.0,10.0,1915.0,2175.0,0.418,0.195,0.495,51.4,50.9,11.5,0.453,20.7,0.281,9.0,WAC,-1,False,False,False,1993
218,San Francisco,31,19,12,0.613,-1.28,-1.21,8.0,6.0,10.0,5.0,5.0,6.0,2419.0,2364.0,0.374,0.273,0.555,48.6,53.9,5.1,0.517,17.5,0.272,4.0,WCC,-1,False,False,False,1993
219,San Jose State,26,7,19,0.269,-3.38,2.77,4.0,14.0,6.0,7.0,1.0,12.0,1677.0,1835.0,0.384,0.176,0.496,53.0,52.1,5.5,0.455,21.2,0.262,9.0,Big West,-1,False,False,False,1993
220,Santa Clara,31,19,12,0.613,1.41,0.24,9.0,5.0,7.0,5.0,5.0,5.0,2136.0,2057.0,0.425,0.332,0.53,51.5,62.1,4.4,0.488,16.5,0.298,3.0,WCC,15.0,True,False,False,1993
221,Seton Hall,35,28,7,0.8,19.48,9.07,14.0,4.0,16.0,1.0,6.0,4.0,2725.0,2342.0,0.466,0.262,0.575,51.8,58.6,10.6,0.526,17.3,0.352,1.0,Big East,2.0,True,False,False,1993
222,Siena,29,16,13,0.552,0.73,-2.31,8.0,6.0,7.0,7.0,8.0,6.0,2078.0,1966.0,0.35,0.297,0.535,51.2,47.3,7.6,0.5,17.2,0.249,4.0,MAAC,-1,False,False,False,1993
223,South Alabama,28,15,13,0.536,4.84,1.91,9.0,9.0,9.0,4.0,5.0,8.0,2281.0,2199.0,0.429,0.195,0.525,53.2,53.5,5.4,0.488,17.8,0.287,6.0,Sun Belt,-1,False,False,False,1993
224,South Carolina,27,9,18,0.333,3.43,9.78,5.0,11.0,5.0,7.0,2.0,7.0,2080.0,2223.0,0.328,0.215,0.515,50.5,51.1,10.6,0.488,18.2,0.214,5.0,SEC,-1,False,False,False,1993
225,South Carolina State,29,16,13,0.552,-13.0,-12.52,9.0,7.0,7.0,3.0,6.0,8.0,2122.0,2115.0,0.44,0.213,0.538,51.8,45.6,6.0,0.5,18.6,0.3,3.0,MEAC,-1,False,False,False,1993
226,South Florida,27,8,19,0.296,-1.67,3.66,2.0,10.0,6.0,8.0,2.0,8.0,1942.0,2086.0,0.332,0.281,0.514,48.9,58.1,6.9,0.48,17.1,0.231,6.0,Metro,-1,False,False,False,1993
227,Southeast Missouri State,27,16,11,0.593,-7.07,-6.07,9.0,7.0,12.0,1.0,2.0,9.0,2179.0,2166.0,0.417,0.249,0.54,50.5,51.0,6.0,0.496,19.0,0.303,5.0,OVC,-1,False,False,False,1993
228,Southeastern Louisiana,27,12,15,0.444,-12.58,-6.19,4.0,8.0,3.0,6.0,4.0,8.0,2071.0,2149.0,0.396,0.218,0.531,53.2,52.8,5.3,0.498,21.9,0.266,6.0,TAAC,-1,False,False,False,1993
229,Southern,31,21,10,0.677,2.0,-7.48,9.0,5.0,5.0,2.0,8.0,6.0,3011.0,2650.0,0.406,0.286,0.543,51.2,49.9,7.8,0.518,16.6,0.26,2.0,SWAC,13.0,True,False,False,1993
230,Southern California,30,18,12,0.6,8.5,7.79,9.0,9.0,11.0,2.0,4.0,10.0,2144.0,2077.0,0.392,0.417,0.524,52.2,56.0,5.2,0.498,18.0,0.246,5.0,Pac-10,-1,False,False,False,1993
231,Southern Illinois,33,23,10,0.697,9.33,2.14,12.0,6.0,11.0,0.0,6.0,8.0,2545.0,2276.0,0.416,0.215,0.539,54.7,48.9,9.3,0.501,17.2,0.288,2.0,MVC,14.0,True,False,False,1993
232,Southern Methodist,28,20,8,0.714,6.8,3.15,12.0,2.0,13.0,1.0,7.0,4.0,2272.0,2131.0,0.358,0.292,0.496,51.1,54.0,8.1,0.474,13.6,0.213,1.0,SWC,-1,False,False,False,1993
233,Southern Mississippi,27,10,17,0.37,2.02,4.8,6.0,6.0,6.0,6.0,4.0,9.0,2140.0,2215.0,0.312,0.323,0.509,50.9,57.7,7.0,0.484,17.8,0.2,5.0,Metro,-1,False,False,False,1993
235,St. Bonaventure,27,10,17,0.37,-0.27,3.46,0.0,14.0,5.0,7.0,4.0,8.0,1918.0,2022.0,0.464,0.228,0.506,50.8,52.8,4.2,0.458,19.4,0.319,8.0,A-10,-1,False,False,False,1993
236,St. Francis (NY),27,9,18,0.333,-15.27,-7.87,8.0,10.0,5.0,4.0,4.0,9.0,1986.0,2186.0,0.349,0.234,0.511,47.9,48.6,8.0,0.48,21.0,0.231,6.0,NEC,-1,False,False,False,1993
237,St. John's (NY),30,19,11,0.633,13.14,9.48,12.0,6.0,11.0,3.0,5.0,7.0,2261.0,2152.0,0.466,0.141,0.54,52.1,57.3,5.7,0.504,17.9,0.31,2.0,Big East,5.0,True,False,False,1993
238,Stanford,30,7,23,0.233,0.06,6.06,2.0,16.0,6.0,9.0,0.0,11.0,1989.0,2115.0,0.343,0.272,0.5,46.8,49.0,6.4,0.463,16.9,0.237,10.0,Pac-10,-1,False,False,False,1993
239,Stephen F. Austin,26,12,14,0.462,-8.0,-5.08,8.0,10.0,8.0,3.0,2.0,11.0,1893.0,1940.0,0.376,0.297,0.545,52.9,44.2,3.4,0.515,19.5,0.254,7.0,Southland,-1,False,False,False,1993
240,Stetson,27,13,14,0.481,-9.87,-8.53,6.0,6.0,6.0,6.0,4.0,6.0,2114.0,2126.0,0.448,0.277,0.563,49.5,43.3,3.7,0.523,17.3,0.32,4.0,TAAC,-1,False,False,False,1993
241,Syracuse,29,20,9,0.69,13.58,8.83,10.0,8.0,11.0,4.0,7.0,3.0,2303.0,2139.0,0.36,0.247,0.542,49.3,53.2,14.0,0.512,19.1,0.247,3.0,Big East,-1,False,False,False,1993
242,TCU,28,6,22,0.214,-9.18,0.93,2.0,12.0,4.0,7.0,0.0,11.0,1815.0,2098.0,0.366,0.272,0.494,45.4,52.8,5.0,0.471,15.3,0.218,8.0,SWC,-1,False,False,False,1993
243,Temple,33,20,13,0.606,12.92,10.23,8.0,6.0,8.0,3.0,4.0,8.0,2285.0,2196.0,0.375,0.302,0.516,48.4,43.3,8.4,0.488,13.1,0.24,5.0,A-10,7.0,True,False,False,1993
244,Tennessee,30,13,17,0.433,7.81,8.75,4.0,12.0,8.0,7.0,4.0,10.0,2361.0,2389.0,0.343,0.271,0.55,50.8,49.8,7.6,0.513,18.4,0.253,6.0,SEC,-1,False,False,False,1993
